Feature,Logistic Regression_classification_importance,XGBoost_classification_importance,Random Forest_classification_importance
lh_bankssts_thickness,0.33822840585520153,0.0,0.00840573856929337
lh_caudalmiddlefrontal_thickness,0.049583238189978375,0.006193329,0.0071109095139282544
lh_fusiform_thickness,0.6860536573586944,0.005258811,0.01569413684790153
lh_inferiorparietal_thickness,0.42409941116884753,0.051756393,0.012188854557779946
lh_inferiortemporal_thickness,0.10818937459323072,0.019096231,0.019003041123337942
lh_isthmuscingulate_thickness,0.409668487463375,0.006848845,0.00833860171998083
lh_lateralorbitofrontal_thickness,0.5580592000990173,0.015617755,0.004006404169461982
lh_medialorbitofrontal_thickness,0.350612426507245,0.0,0.002362541770184332
lh_middletemporal_thickness,0.7746075797159485,0.01803519,0.029619315302740798
lh_paracentral_thickness,0.22304316596354226,0.004815239,0.0027744927627844874
lh_parsopercularis_thickness,0.8046938594564752,0.0022069516,0.002247654167660666
lh_parsorbitalis_thickness,0.3102334532260764,0.0,0.004689946819338762
lh_parstriangularis_thickness,0.12704230686102982,0.0005507953,0.002268354136281401
lh_postcentral_thickness,0.4548686706338021,0.012778592,0.0026185430421891333
lh_posteriorcingulate_thickness,0.02768502199440828,0.023059148,0.005577704236865821
lh_precentral_thickness,0.2303635056979966,0.0027693412,0.006880640842213557
lh_precuneus_thickness,0.14758106629583526,0.059139844,0.028490395233312565
lh_rostralanteriorcingulate_thickness,0.1625405098015109,0.0,0.0028655884568100855
lh_rostralmiddlefrontal_thickness,0.34244585200787053,0.0,0.00356410176621234
lh_superiorfrontal_thickness,0.5929778270247024,0.0,0.006572927841542577
lh_superiorparietal_thickness,0.17715034775490918,0.0,0.002218722459289878
lh_superiortemporal_thickness,0.4620848915197922,0.0,0.03190348427171662
lh_supramarginal_thickness,0.3081128187921965,0.0,0.004324949976813647
lh_frontalpole_thickness,0.09057695437808234,0.0030431305,0.0028544693943160456
lh_transversetemporal_thickness,0.36118344989240425,0.011848648,0.0025467977631057955
lh_insula_thickness,0.42634910555251077,0.0,0.0022447001827066576
lh_cuneus_thicknessstd,0.3013120149654762,0.013550379,0.0015382337282419702
lh_fusiform_thicknessstd,0.36393575600032735,0.002335654,0.0016982112820382717
lh_parsopercularis_thicknessstd,0.36290007570832106,0.0024259035,0.005313272395523601
lh_precuneus_thicknessstd,0.11989720210534166,0.0,0.0021784231780272566
lh_rostralanteriorcingulate_thicknessstd,0.16275175861115546,0.0,0.00637151639936147
lh_superiorfrontal_thicknessstd,0.3720404573395357,0.019409236,0.005500556272767959
lh_frontalpole_thicknessstd,0.033894488049118744,0.014221322,0.0027829228241562512
rh_bankssts_thickness,0.5458286179399549,0.0,0.005995307028917447
rh_caudalanteriorcingulate_thickness,0.2848496616237278,0.019582406,0.006991444863755463
rh_caudalmiddlefrontal_thickness,0.4947108761639879,0.005041544,0.006544856950601499
rh_fusiform_thickness,0.17437490037912087,0.0,0.01071308119473216
rh_inferiorparietal_thickness,0.04327205157389976,0.00092544756,0.006755726569807095
rh_inferiortemporal_thickness,0.3149596148663603,0.041957993,0.018302282141125947
rh_isthmuscingulate_thickness,0.11395050712288489,0.010121616,0.003964385201056181
rh_lateralorbitofrontal_thickness,0.12471412481307745,0.0,0.003330786262580532
rh_medialorbitofrontal_thickness,0.21694335713213175,0.0016245634,0.004021932374755357
rh_middletemporal_thickness,0.49031281218504114,0.006450836,0.023471775348431752
rh_paracentral_thickness,0.21919835959125608,0.00055240374,0.004004702541301446
rh_parsopercularis_thickness,0.30573482009596276,0.0,0.003263156664960103
rh_parsorbitalis_thickness,0.2523574136179313,0.0,0.0028200582748597563
rh_parstriangularis_thickness,0.16058856133894478,0.0010597679,0.0031722487930789375
rh_postcentral_thickness,0.17184825134000337,0.0092688445,0.0033580258373772146
rh_posteriorcingulate_thickness,0.30068722631955486,0.0,0.002485260434642072
rh_precentral_thickness,0.32476572684736166,0.016332848,0.00362720324461105
rh_precuneus_thickness,0.27475274469052174,0.0,0.013068846177055754
rh_rostralmiddlefrontal_thickness,0.5551539845954775,0.0,0.004071253828944462
rh_superiorfrontal_thickness,0.162946918882233,0.0,0.003275463648502856
rh_superiorparietal_thickness,0.07547405032005378,0.012615206,0.0034899387387936896
rh_superiortemporal_thickness,0.1712509396324766,0.0,0.017066351956659644
rh_supramarginal_thickness,0.13391750709077274,0.001120051,0.007423119160547436
rh_frontalpole_thickness,0.6159611232879924,0.0,0.0040427511595101644
rh_transversetemporal_thickness,0.984529576772208,0.0029038012,0.0056135766261805635
rh_insula_thickness,0.2633793630956054,0.0011196518,0.004219639189412355
rh_cuneus_thicknessstd,0.18588188647429257,0.0048859543,0.0012352908872130365
rh_fusiform_thicknessstd,0.23673556685140407,0.006854361,0.003261459069387929
rh_pericalcarine_thicknessstd,0.3986280103048788,0.0006029737,0.002250716448501829
rh_precuneus_thicknessstd,0.5825574072511795,0.00083798676,0.002571450640226685
rh_rostralanteriorcingulate_thicknessstd,0.2317161674637504,0.0094020935,0.008601911777251673
rh_superiorfrontal_thicknessstd,0.120438368169312,0.0,0.001935570201946384
Left-Lateral-Ventricle,0.20095511714492437,0.0011929054,0.006362673940179577
Left-Inf-Lat-Vent,0.4736466072041016,0.05886925,0.02874356458440885
Left-Cerebellum-White-Matter,0.36693340769769756,0.0021431043,0.003980256917456956
Left-Cerebellum-Cortex,0.46145005016672136,0.0035248674,0.0045792431394727036
Left-Thalamus,0.22802170635873606,0.0,0.006076298679033583
Left-Caudate,0.5221451187142339,0.03863301,0.0012790841261462371
Left-Putamen,0.6935302671229393,0.0086608315,0.01994494650210817
Left-Pallidum,0.3313241902533481,0.00504254,0.004391503873838709
3rd-Ventricle,0.7928338165091325,0.020637594,0.0030273931403086685
Left-Hippocampus,0.8851482421966967,0.007873887,0.05995965790971172
Left-Amygdala,0.4533687043877154,0.14238986,0.07188028702021339
CSF,0.8294082625088554,0.005525465,0.004889521856854555
Left-Accumbens-area,0.03868934915229088,0.018000005,0.02063993334475949
Left-VentralDC,0.3048293340435931,0.004107575,0.0040502086647194084
Left-vessel,0.3738543138772986,0.0068765706,0.006182314059527716
Left-choroid-plexus,0.6745921428308181,0.0216892,0.017696109319137905
Right-Lateral-Ventricle,0.18263367493757413,0.050777044,0.006416356803431375
Right-Inf-Lat-Vent,0.6095327894703577,0.024256302,0.03781165351845418
Right-Cerebellum-White-Matter,0.4222531388833296,0.0004884588,0.0043088345567633924
Right-Thalamus,0.04660560241706761,0.0,0.0021987769518350695
Right-Caudate,0.11755759566743616,0.0,0.0022667206235211087
Right-Putamen,0.3477275073703101,0.0014668641,0.007226004396303353
Right-Pallidum,0.061605032275159774,0.012316433,0.004081240550989684
Right-Hippocampus,1.2726073034571848,0.040562157,0.0812850847069669
Right-Amygdala,0.6463310912344046,0.009982716,0.06186781272035875
Right-Accumbens-area,0.016315990064337604,0.0019278612,0.013949474930544934
Right-VentralDC,0.560028851890049,0.007486381,0.003823745670951321
Right-vessel,0.2173886851542894,0.0036768317,0.006022584669751217
Right-choroid-plexus,0.2372665209079857,0.0,0.011621146032976601
WM-hypointensities,0.1764104682967612,0.010003085,0.017699520435611505
Optic-Chiasm,1.125443269406807,0.018648066,0.009678216304715017
CC_Mid_Posterior,0.008978846001718922,0.004395542,0.0031455333031734354
CC_Central,0.5952783985586659,0.0,0.004569895342335385
CC_Mid_Anterior,0.31846629461153997,0.0039011836,0.004055406621500904
CC_Anterior,0.003231190484552875,0.0037952145,0.004338216352073408
age,0.224489769335162,0.012928167,0.008245052185250365
